author,comments,name,press,price,rank
王小波,75052条评论,沉默的大多数（又名《一只特立独行的猪》）,北京联合出版公司,¥16.00,188.
戈登,101063条评论, PET  P.E.T.父母效能训练:让亲子沟通如此高效而简单,中国发展出版社,¥16.50,189.
罗伯特·B.西奥迪尼,125324条评论,影响力（经典版）（新版）（团购，请致电010-57993380）,北京联合出版公司,¥34.70,190.
德鲁克,203199条评论,卓有成效的管理者（珍藏版）（团购，请致电010-57993380）,机械工业出版社,¥18.00,191.
刘慈欣,49366条评论,流浪的地球（刘慈欣作品，根据本书改编的同名电影2019春节上映。,浙江教育出版社,¥14.50,2.
刘慈欣,49422条评论,银火箭少年科幻系列 （8册。亚洲首位“雨果奖”得主刘慈欣主编，,浙江教育出版社,¥125.40,3.
余华,1946101条评论,活着（2017年新版）,作家出版社,¥19.60,4.
乔安娜柯尔,946496条评论,神奇校车·图画书版（全12册，新增《科学博览会》1册）,贵州人民出版社,¥99.00,5.
周国平,437854条评论,我喜欢生命本来的样子(周国平经典散文作品集),作家出版社,¥22.50,6.
刘慈欣,10046条评论,流浪地球：刘慈欣授权，电影原著小说,中国华侨出版社,¥26.22,7.
陈果,150818条评论,复旦名师陈果：好的孤独（复旦名师陈果博士，用哲学的方式告诉你, 江苏凤凰文艺出版社,¥18.00,8.
高春香,534783条评论,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，,海豚出版社,¥50.00,51.
闫仲渝,15802条评论,傅雷家书（新课标经典文学名著金库名师精评版！名校班主任、语文,天地出版社,¥16.00,202.
东野圭吾,118069条评论,放学后（东野圭吾成名作）,南海出版公司,¥33.70,203.
东野圭吾,656712条评论,东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝,南海出版公司,¥26.30,204.
陈忠实,75366条评论,白鹿原,作家出版社,¥19.00,205.
王小波,221730条评论,一只特立独行的猪,北京十月文艺出版社,¥22.80,206.
北京小红花图书工作室,59175条评论,邦臣小红花·0-3岁专注力训练贴纸书 全6册,中国人口出版社,¥35.40,207.
贾雷德.戴蒙德,90051条评论,枪炮、病菌与钢铁——人类社会的命运(修订版）,上海译文出版社,¥27.50,208.
北猫,116350条评论,米小圈上学记一年级（套装共4册）,四川少儿出版社,¥50.00,169.
斯蒂芬·茨威格,76353条评论,一个陌生女人的来信（茨威格中短篇小说选，豆瓣9.4高评分译作，德,时代文艺出版社,¥9.90,170.
北猫,185246条评论,米小圈漫画成语（套装共4册）,四川少儿出版社,¥37.00,171.
克莱儿·麦克福尔,327603条评论,摆渡人2：重返荒原（每一个镌刻着爱与善意的灵魂，都会成为我们生,百花洲文艺出版社,¥21.40,172.
卡罗尔·德韦克,54407条评论,终身成长：重新定义成功的思维模式,江西人民出版社,¥37.30,173.
林清玄,61671条评论,愿你，归来仍是少年（林清玄启悟人生系列）,长江文艺出版社,¥19.70,192.
村上春树,177454条评论,挪威的森林（2018年新版，村上春树的残酷青春物语，现象级的超级,上海译文出版社,¥24.00,193.
林清玄,15407条评论,林清玄散文精选（套装两册）,作家出版社,¥28.00,194.
海伦·帕尔默,83683条评论,九型人格 : 职场高品质沟通的艺术,北京联合出版公司,¥19.50,195.
吉田纯子,247712条评论,0-4岁幼儿认知小百科（全3册),长江少年儿童出版社,¥59.70,196.
刘慈欣,628786条评论,三体：全三册 刘慈欣代表作，亚洲首部“雨果奖”获奖作品！,重庆出版社,¥52.50,9.
沈复,815991条评论,浮生六记 （汪涵、胡歌推荐，畅销200万册。沈复给芸娘的绝美情书,天津人民出版社,¥16.00,10.
爱华文,781条评论,中国传统节日故事 小学语文课外读物 （收录专家解读节日和习俗，,团结出版社,¥14.20,241.
黄静洁,37299条评论,父母的格局：成就孩子的“第三种力量”  朱丹 马伊琍推荐,中国妇女出版社,¥31.10,261.
张德芬,191836条评论,遇见未知的自己（全新修订版）,湖南文艺出版社,¥19.00,221.
南怀瑾,13896条评论,论语别裁（独家授权简体版套装两册）,东方出版社,¥49.00,141.
杨绛,1127003条评论,我们仨（新版）,生活.读书.新知三联书店,¥16.00,52.
